month,category,value
Jan.,supply,987
Feb.,supply,956.2
Mar.,supply,"1,088"
Apr.,supply,"1,067"
May,supply,1016.6
Jun.,supply,"1,016"
Jul.,supply,"1,047"
Aug.,supply,"1,077"
Sep.,supply,"1,062"
Oct.,supply,"1,195"
Nov.,supply,975
Dec.,supply,909.6
Jan.,consumption,854.0
Feb.,consumption,805.6
Mar.,consumption,951.0
Apr.,consumption,855.8
May,consumption,893.8
Jun.,consumption,887.0
Jul.,consumption,902.0
Aug.,consumption,938.0
Sep.,consumption,914.6
Oct.,consumption,1002.2
Nov.,consumption,903.2
Dec.,consumption,825.2
